# SiO2 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the single-layer witnesses and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
835,1.4779,2.02e-05,0.0091
840,1.4778,2.06e-05,0.0091
845,1.4777,2.09e-05,0.0091
850,1.4776,2.13e-05,0.0091
855,1.4775,2.17e-05,0.00905
860,1.4774,2.2e-05,0.00905
865,1.4773,2.24e-05,0.00905
870,1.4772,2.28e-05,0.00905
875,1.4772,2.32e-05,0.009
880,1.4771,2.36e-05,0.009
885,1.477,2.4e-05,0.009
890,1.4769,2.44e-05,0.009
895,1.4768,2.48e-05,0.009
900,1.4768,2.52e-05,0.009
905,1.4767,2.56e-05,0.009
910,1.4766,2.6e-05,0.009
915,1.4765,2.64e-05,0.00895
920,1.4764,2.68e-05,0.00895
925,1.4764,2.73e-05,0.009
930,1.4763,2.77e-05,0.00895
935,1.4762,2.81e-05,0.00895
940,1.4761,2.86e-05,0.00895
945,1.4761,2.9e-05,0.00895
950,1.476,2.95e-05,0.0089
955,1.4759,2.99e-05,0.00895
960,1.4759,3.04e-05,0.0089
965,1.4758,3.09e-05,0.0089
970,1.4757,3.13e-05,0.0089
975,1.4756,3.18e-05,0.0089
980,1.4756,3.23e-05,0.0089
985,1.4755,3.28e-05,0.0089
990,1.4754,3.32e-05,0.00885
995,1.4754,3.37e-05,0.0089
1000,1.4753,3.42e-05,0.0089
1005,1.4752,3.47e-05,0.00885
1010,1.4752,3.52e-05,0.00885
1015,1.4751,3.57e-05,0.00885
1020,1.4751,3.62e-05,0.00885
1025,1.475,3.68e-05,0.0088
1030,1.4749,3.73e-05,0.00885
1035,1.4749,3.78e-05,0.00885
1040,1.4748,3.83e-05,0.0088
1045,1.4747,3.89e-05,0.00885
1050,1.4747,3.94e-05,0.0088
1055,1.4746,3.99e-05,0.0088
1060,1.4746,4.05e-05,0.0088
1065,1.4745,4.1e-05,0.0088
1070,1.4744,4.16e-05,0.00875
1075,1.4744,4.21e-05,0.0088
1080,1.4743,4.27e-05,0.0088
1085,1.4743,4.32e-05,0.00875
1090,1.4742,4.38e-05,0.0088
1095,1.4742,4.44e-05,0.00875
1100,1.4741,4.49e-05,0.00875
1105,1.474,4.55e-05,0.00875
1110,1.474,4.61e-05,0.00875
1115,1.4739,4.67e-05,0.00875
1120,1.4739,4.73e-05,0.00875
1125,1.4738,4.79e-05,0.0087
1130,1.4738,4.85e-05,0.00875
1135,1.4737,4.91e-05,0.0087
1140,1.4737,4.97e-05,0.00875
1145,1.4736,5.03e-05,0.0087
1150,1.4736,5.09e-05,0.0087
1155,1.4735,5.15e-05,0.0087
1160,1.4735,5.21e-05,0.00865
1165,1.4734,5.27e-05,0.0087
1170,1.4734,5.33e-05,0.00865
1175,1.4733,5.4e-05,0.0087
1180,1.4733,5.46e-05,0.00865
1185,1.4732,5.52e-05,0.0087
1190,1.4732,5.59e-05,0.00865
1195,1.4731,5.65e-05,0.00865
1200,1.4731,5.72e-05,0.00865
1210,1.473,5.85e-05,0.00865
1220,1.4729,5.98e-05,0.00865
1230,1.4728,6.11e-05,0.00865
1240,1.4727,6.24e-05,0.00865
1250,1.4726,6.38e-05,0.0086
1260,1.4725,6.51e-05,0.0086
1270,1.4724,6.65e-05,0.0086
1280,1.4723,6.79e-05,0.0086
1290,1.4722,6.93e-05,0.0086
1300,1.4722,7.07e-05,0.00855
1310,1.4721,7.21e-05,0.00855
1320,1.472,7.36e-05,0.00855
1330,1.4719,7.5e-05,0.00855
1340,1.4718,7.65e-05,0.0085
1350,1.4717,7.79e-05,0.0085
1360,1.4717,7.94e-05,0.0085
1370,1.4716,8.09e-05,0.0085
1380,1.4715,8.24e-05,0.0085
1390,1.4714,8.39e-05,0.0085
1400,1.4714,8.54e-05,0.0085
1410,1.4713,8.69e-05,0.00845
1420,1.4712,8.85e-05,0.00845
1430,1.4711,9e-05,0.00845
1440,1.471,9.16e-05,0.00845
1450,1.471,9.32e-05,0.00845
1460,1.4709,9.47e-05,0.00845
1470,1.4708,9.63e-05,0.00845
1480,1.4707,9.79e-05,0.0084
1490,1.4706,9.95e-05,0.0084
1500,1.4705,0.000101,0.0084
1510,1.4705,0.000103,0.0084
1520,1.4704,0.000104,0.0084
1530,1.4703,0.000106,0.0084
1540,1.4702,0.000108,0.0084
1550,1.4701,0.000109,0.00835
1560,1.47,0.000111,0.00835
1570,1.4699,0.000113,0.00835
1580,1.4698,0.000114,0.00835
1590,1.4697,0.000116,0.0083
1600,1.4696,0.000118,0.0083
1610,1.4694,0.000119,0.0083
1620,1.4693,0.000121,0.0083
1630,1.4692,0.000123,0.00835
1640,1.4691,0.000125,0.0083
1650,1.469,0.000126,0.0083
1660,1.4689,0.000128,0.0083
1670,1.4687,0.00013,0.00825
1680,1.4686,0.000132,0.00825
1690,1.4685,0.000133,0.0083
1700,1.4683,0.000135,0.00825
1710,1.4682,0.000137,0.00825
1720,1.4681,0.000139,0.0082
1730,1.4679,0.000141,0.00825
1740,1.4678,0.000142,0.0082
1750,1.4677,0.000144,0.0082
1760,1.4675,0.000146,0.0082
1770,1.4674,0.000148,0.0082
1780,1.4672,0.00015,0.0082
1790,1.4671,0.000152,0.0082
1800,1.4669,0.000153,0.00815
1810,1.4668,0.000155,0.00815
1820,1.4666,0.000157,0.00815
1830,1.4665,0.000159,0.00815
1840,1.4663,0.000161,0.0081
1850,1.4661,0.000163,0.00815
1860,1.466,0.000165,0.00815
1870,1.4658,0.000166,0.0081
1880,1.4656,0.000168,0.0081
1890,1.4655,0.00017,0.0081
1900,1.4653,0.000172,0.0081
1910,1.4651,0.000174,0.0081
1920,1.465,0.000176,0.00805
1930,1.4648,0.000178,0.00805
1940,1.4646,0.00018,0.00805
1950,1.4644,0.000182,0.00805
1960,1.4643,0.000184,0.00805
1970,1.4641,0.000186,0.00805
1980,1.4639,0.000188,0.008
1990,1.4637,0.000189,0.008
