# Nb2O5 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the reference single layers and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
1075,2.2565,6.07e-05,0.0055
1080,2.2562,6.06e-05,0.0055
1085,2.2559,6.04e-05,0.0055
1090,2.2556,6.03e-05,0.0055
1095,2.2553,6.02e-05,0.0055
1100,2.2551,6e-05,0.0055
1105,2.2548,5.99e-05,0.0055
1110,2.2545,5.98e-05,0.0055
1115,2.2542,5.96e-05,0.0055
1120,2.254,5.95e-05,0.0055
1125,2.2537,5.93e-05,0.0055
1130,2.2534,5.92e-05,0.0055
1135,2.2532,5.91e-05,0.0055
1140,2.2529,5.89e-05,0.0055
1145,2.2527,5.88e-05,0.00545
1150,2.2524,5.87e-05,0.0055
1155,2.2522,5.85e-05,0.0055
1160,2.2519,5.84e-05,0.0055
1165,2.2517,5.83e-05,0.0055
1170,2.2515,5.81e-05,0.00545
1175,2.2512,5.8e-05,0.0055
1180,2.251,5.79e-05,0.0055
1185,2.2508,5.78e-05,0.00545
1190,2.2506,5.77e-05,0.0055
1195,2.2503,5.76e-05,0.0055
1200,2.2501,5.75e-05,0.0055
1210,2.2497,5.73e-05,0.00545
1220,2.2493,5.71e-05,0.0055
1230,2.2488,5.7e-05,0.0055
1240,2.2484,5.69e-05,0.0055
1250,2.248,5.68e-05,0.0055
1260,2.2476,5.67e-05,0.0055
1270,2.2472,5.67e-05,0.0055
1280,2.2468,5.66e-05,0.0055
1290,2.2464,5.66e-05,0.0055
1300,2.246,5.66e-05,0.00545
1310,2.2457,5.67e-05,0.00545
1320,2.2453,5.68e-05,0.00545
1330,2.2449,5.69e-05,0.00545
1340,2.2445,5.7e-05,0.0054
1350,2.2442,5.71e-05,0.00545
1360,2.2438,5.73e-05,0.00545
1370,2.2434,5.75e-05,0.0054
1380,2.243,5.77e-05,0.0054
1390,2.2427,5.8e-05,0.00545
1400,2.2423,5.83e-05,0.0054
1410,2.2419,5.86e-05,0.0054
1420,2.2416,5.89e-05,0.0054
1430,2.2412,5.93e-05,0.0054
1440,2.2408,5.97e-05,0.0054
1450,2.2405,6.01e-05,0.00535
1460,2.2401,6.05e-05,0.0054
1470,2.2398,6.1e-05,0.00535
1480,2.2394,6.15e-05,0.00535
1490,2.239,6.21e-05,0.0054
1500,2.2387,6.26e-05,0.00535
1510,2.2383,6.32e-05,0.00535
1520,2.2379,6.38e-05,0.0053
1530,2.2376,6.45e-05,0.00535
1540,2.2372,6.51e-05,0.0053
1550,2.2369,6.58e-05,0.0053
1560,2.2365,6.66e-05,0.0053
1570,2.2361,6.73e-05,0.0053
1580,2.2358,6.81e-05,0.00525
1590,2.2354,6.9e-05,0.00525
1600,2.235,6.98e-05,0.00525
1610,2.2347,7.07e-05,0.00525
1620,2.2343,7.17e-05,0.0052
1630,2.2339,7.26e-05,0.00525
1640,2.2336,7.36e-05,0.00525
1650,2.2332,7.46e-05,0.0052
