# Sapphire, ordinary ray. I. H. Malitson, J. Opt. Soc. Am. 52, 1377 (1962). Tabulated here from the Sellmeier coefficients so that the deposit carries no substrate database. Substrate of the single-layer witnesses.
Wavelength_nm,n,k
2760,1.71927726,0
2770,1.718995411,0
2780,1.718712465,0
2790,1.71842842,0
2800,1.718143275,0
2810,1.717857027,0
2820,1.717569673,0
2830,1.717281211,0
2840,1.716991639,0
2850,1.716700955,0
2860,1.716409155,0
2870,1.716116239,0
2880,1.715822202,0
2890,1.715527044,0
2900,1.715230761,0
2910,1.714933352,0
2920,1.714634814,0
2930,1.714335145,0
2940,1.714034342,0
2950,1.713732403,0
2960,1.713429326,0
2970,1.713125108,0
2980,1.712819747,0
2990,1.712513242,0
3000,1.712205588,0
3010,1.711896785,0
3020,1.711586829,0
3030,1.711275719,0
3040,1.710963452,0
3050,1.710650026,0
3060,1.710335438,0
3070,1.710019687,0
3080,1.709702769,0
3090,1.709384682,0
3100,1.709065425,0
3110,1.708744994,0
3120,1.708423388,0
3130,1.708100603,0
3140,1.707776639,0
3150,1.707451491,0
3160,1.707125159,0
3170,1.706797639,0
3180,1.706468929,0
3190,1.706139027,0
3200,1.70580793,0
3210,1.705475637,0
3220,1.705142144,0
3230,1.704807449,0
3240,1.70447155,0
3250,1.704134445,0
3260,1.703796131,0
3270,1.703456605,0
3280,1.703115865,0
3290,1.70277391,0
3300,1.702430735,0
3310,1.70208634,0
3320,1.701740721,0
3330,1.701393876,0
3340,1.701045802,0
3350,1.700696498,0
3360,1.700345961,0
3370,1.699994187,0
3380,1.699641176,0
3390,1.699286923,0
3400,1.698931427,0
3410,1.698574686,0
3420,1.698216696,0
3430,1.697857456,0
3440,1.697496962,0
3450,1.697135212,0
3460,1.696772205,0
3470,1.696407936,0
3480,1.696042404,0
3490,1.695675605,0
3500,1.695307539,0
3510,1.694938201,0
3520,1.694567589,0
3530,1.694195701,0
3540,1.693822535,0
3550,1.693448087,0
3560,1.693072354,0
3570,1.692695336,0
3580,1.692317027,0
3590,1.691937427,0
3600,1.691556533,0
3610,1.691174341,0
3620,1.690790849,0
3630,1.690406054,0
3640,1.690019955,0
3650,1.689632547,0
3660,1.689243829,0
3670,1.688853797,0
3680,1.688462449,0
3690,1.688069783,0
3700,1.687675795,0
3710,1.687280483,0
3720,1.686883843,0
3730,1.686485874,0
3740,1.686086573,0
3750,1.685685936,0
3760,1.685283961,0
3770,1.684880645,0
3780,1.684475985,0
3790,1.684069979,0
3800,1.683662623,0
3810,1.683253915,0
3820,1.682843852,0
