# Silicon. H. H. Li, J. Phys. Chem. Ref. Data 9, 561 (1980), crystalline silicon at 26 C, evaluated here from the formula rather than transcribed: n^2 = 11.6858 + 0.939816/L^2 + 8.10461e-3 * 1.1071^2 / (L^2 - 1.1071^2), L in micrometres. n(1.5 um) = 3.4804, n(2) = 3.4532, n(3) = 3.4339, n(4) = 3.4271. k = 0: silicon is transparent over this range. Tabulated from 1200 nm because the formula has a pole at 1107 nm; below 1200 nm it is not merely inaccurate but meaningless. Propagated, never adjusted.
Wavelength_nm,n,k
2345,3.443694306,0
2350,3.44358698,0
2355,3.443480338,0
2360,3.443374374,0
2365,3.443269082,0
2370,3.443164457,0
2375,3.443060494,0
2380,3.442957186,0
2385,3.442854528,0
2390,3.442752514,0
2395,3.44265114,0
2400,3.442550399,0
2405,3.442450287,0
2410,3.442350798,0
2415,3.442251928,0
2420,3.44215367,0
2425,3.44205602,0
2430,3.441958973,0
2435,3.441862524,0
2440,3.441766669,0
2445,3.441671401,0
2450,3.441576717,0
2455,3.441482611,0
2460,3.441389079,0
2465,3.441296116,0
2470,3.441203718,0
2475,3.44111188,0
2480,3.441020598,0
2485,3.440929866,0
2490,3.440839681,0
2495,3.440750038,0
2500,3.440660933,0
2505,3.440572361,0
2510,3.440484319,0
2515,3.440396802,0
2520,3.440309806,0
2525,3.440223326,0
2530,3.440137359,0
2535,3.440051901,0
2540,3.439966947,0
2545,3.439882494,0
2550,3.439798537,0
2555,3.439715074,0
2560,3.439632099,0
2565,3.439549609,0
2570,3.439467601,0
2575,3.43938607,0
2580,3.439305013,0
2585,3.439224427,0
2590,3.439144307,0
2595,3.43906465,0
2600,3.438985452,0
2605,3.43890671,0
2610,3.43882842,0
2615,3.43875058,0
2620,3.438673185,0
2625,3.438596232,0
2630,3.438519717,0
2635,3.438443639,0
2640,3.438367992,0
2645,3.438292774,0
2650,3.438217981,0
2655,3.438143611,0
2660,3.43806966,0
2665,3.437996125,0
2670,3.437923003,0
2675,3.437850291,0
2680,3.437777986,0
2685,3.437706084,0
2690,3.437634583,0
2695,3.43756348,0
2700,3.437492771,0
2705,3.437422455,0
2710,3.437352527,0
2715,3.437282986,0
2720,3.437213828,0
2725,3.43714505,0
2730,3.43707665,0
2735,3.437008625,0
2740,3.436940972,0
2745,3.436873688,0
2750,3.436806772,0
2755,3.436740219,0
2760,3.436674028,0
2765,3.436608195,0
2770,3.436542719,0
2775,3.436477597,0
2780,3.436412826,0
2785,3.436348403,0
2790,3.436284327,0
2795,3.436220594,0
2800,3.436157202,0
2805,3.436094149,0
2810,3.436031433,0
2815,3.43596905,0
2820,3.435906999,0
2825,3.435845277,0
2830,3.435783882,0
2835,3.435722812,0
2840,3.435662064,0
2845,3.435601636,0
2850,3.435541526,0
2855,3.435481731,0
2860,3.43542225,0
2865,3.43536308,0
2870,3.435304219,0
2875,3.435245665,0
2880,3.435187415,0
2885,3.435129468,0
2890,3.435071822,0
2895,3.435014474,0
2900,3.434957423,0
2905,3.434900665,0
2910,3.434844201,0
2915,3.434788026,0
2920,3.43473214,0
2925,3.43467654,0
2930,3.434621225,0
2935,3.434566192,0
2940,3.434511439,0
2945,3.434456966,0
2950,3.434402769,0
2955,3.434348846,0
2960,3.434295197,0
2965,3.434241819,0
2970,3.434188711,0
2975,3.43413587,0
2980,3.434083294,0
2985,3.434030983,0
2990,3.433978934,0
2995,3.433927145,0
3000,3.433875615,0
3005,3.433824342,0
3010,3.433773325,0
3015,3.43372256,0
3020,3.433672048,0
3025,3.433621786,0
3030,3.433571773,0
3035,3.433522007,0
3040,3.433472486,0
3045,3.433423208,0
3050,3.433374173,0
3055,3.433325378,0
3060,3.433276823,0
3065,3.433228504,0
3070,3.433180422,0
3075,3.433132574,0
3080,3.433084959,0
3085,3.433037575,0
3090,3.43299042,0
3095,3.432943495,0
3100,3.432896796,0
3105,3.432850322,0
3110,3.432804072,0
3115,3.432758045,0
3120,3.432712239,0
3125,3.432666653,0
3130,3.432621284,0
3135,3.432576133,0
3140,3.432531197,0
3145,3.432486475,0
3150,3.432441966,0
3155,3.432397669,0
3160,3.432353581,0
3165,3.432309703,0
3170,3.432266031,0
3175,3.432222566,0
3180,3.432179306,0
3185,3.432136249,0
3190,3.432093394,0
3195,3.432050741,0
3200,3.432008287,0
3205,3.431966032,0
3210,3.431923974,0
3215,3.431882112,0
3220,3.431840445,0
3225,3.431798971,0
3230,3.43175769,0
3235,3.4317166,0
3240,3.4316757,0
3245,3.431634989,0
3250,3.431594466,0
3255,3.431554129,0
3260,3.431513978,0
3265,3.43147401,0
3270,3.431434227,0
3275,3.431394625,0
3280,3.431355204,0
3285,3.431315963,0
3290,3.4312769,0
3295,3.431238016,0
3300,3.431199307,0
3305,3.431160775,0
3310,3.431122416,0
3315,3.431084232,0
3320,3.431046219,0
3325,3.431008378,0
3330,3.430970707,0
3335,3.430933206,0
3340,3.430895872,0
3345,3.430858706,0
3350,3.430821706,0
3355,3.430784872,0
3360,3.430748201,0
3365,3.430711694,0
3370,3.43067535,0
3375,3.430639166,0
3380,3.430603143,0
3385,3.43056728,0
3390,3.430531575,0
3395,3.430496028,0
3400,3.430460637,0
3405,3.430425402,0
3410,3.430390322,0
3415,3.430355396,0
3420,3.430320623,0
3425,3.430286002,0
3430,3.430251532,0
3435,3.430217213,0
3440,3.430183043,0
3445,3.430149022,0
3450,3.430115149,0
3455,3.430081422,0
3460,3.430047842,0
3465,3.430014406,0
3470,3.429981116,0
3475,3.429947968,0
3480,3.429914964,0
3485,3.429882101,0
3490,3.42984938,0
3495,3.429816798,0
3500,3.429784357,0
3505,3.429752054,0
3510,3.429719888,0
3515,3.42968786,0
3520,3.429655969,0
3525,3.429624213,0
3530,3.429592591,0
3535,3.429561104,0
3540,3.42952975,0
3545,3.429498529,0
3550,3.429467439,0
3555,3.429436481,0
3560,3.429405652,0
3565,3.429374954,0
3570,3.429344384,0
3575,3.429313942,0
3580,3.429283628,0
3585,3.42925344,0
3590,3.429223379,0
3595,3.429193442,0
3600,3.429163631,0
3605,3.429133943,0
3610,3.429104379,0
3615,3.429074937,0
3620,3.429045617,0
3625,3.429016418,0
3630,3.428987339,0
3635,3.428958381,0
3640,3.428929542,0
3645,3.428900821,0
3650,3.428872218,0
3655,3.428843733,0
3660,3.428815364,0
3665,3.428787111,0
3670,3.428758973,0
3675,3.428730951,0
3680,3.428703042,0
3685,3.428675247,0
3690,3.428647564,0
3695,3.428619994,0
3700,3.428592536,0
3705,3.428565189,0
3710,3.428537952,0
3715,3.428510825,0
3720,3.428483807,0
3725,3.428456898,0
3730,3.428430097,0
3735,3.428403404,0
3740,3.428376817,0
3745,3.428350337,0
3750,3.428323963,0
3755,3.428297694,0
3760,3.42827153,0
3765,3.428245469,0
3770,3.428219513,0
3775,3.428193659,0
3780,3.428167908,0
3785,3.428142259,0
3790,3.428116711,0
3795,3.428091265,0
3800,3.428065918,0
3805,3.428040671,0
3810,3.428015524,0
3815,3.427990475,0
3820,3.427965525,0
3825,3.427940673,0
3830,3.427915917,0
3835,3.427891259,0
3840,3.427866696,0
3845,3.42784223,0
3850,3.427817858,0
3855,3.427793582,0
3860,3.427769399,0
3865,3.427745311,0
3870,3.427721315,0
3875,3.427697413,0
3880,3.427673602,0
3885,3.427649884,0
3890,3.427626257,0
3895,3.427602721,0
3900,3.427579275,0
3905,3.427555919,0
3910,3.427532653,0
3915,3.427509476,0
3920,3.427486387,0
3925,3.427463387,0
3930,3.427440474,0
3935,3.427417649,0
3940,3.42739491,0
3945,3.427372258,0
3950,3.427349691,0
3955,3.42732721,0
3960,3.427304815,0
3965,3.427282504,0
3970,3.427260277,0
3975,3.427238134,0
3980,3.427216074,0
3985,3.427194097,0
3990,3.427172203,0
3995,3.427150391,0
4000,3.42712866,0
4005,3.427107011,0
4010,3.427085443,0
4015,3.427063955,0
4020,3.427042548,0
4025,3.42702122,0
4030,3.426999971,0
4035,3.426978802,0
4040,3.426957711,0
4045,3.426936698,0
4050,3.426915762,0
4055,3.426894904,0
4060,3.426874124,0
4065,3.426853419,0
4070,3.426832791,0
4075,3.426812239,0
4080,3.426791762,0
4085,3.426771361,0
4090,3.426751034,0
4095,3.426730782,0
4100,3.426710603,0
4105,3.426690498,0
4110,3.426670467,0
4115,3.426650509,0
4120,3.426630623,0
4125,3.426610809,0
4130,3.426591067,0
4135,3.426571397,0
4140,3.426551798,0
4145,3.42653227,0
4150,3.426512812,0
4155,3.426493425,0
4160,3.426474107,0
4165,3.426454859,0
4170,3.42643568,0
4175,3.42641657,0
4180,3.426397529,0
4185,3.426378555,0
4190,3.42635965,0
4195,3.426340812,0
4200,3.426322041,0
4205,3.426303337,0
4210,3.4262847,0
4215,3.426266129,0
4220,3.426247624,0
4225,3.426229184,0
4230,3.42621081,0
4235,3.426192501,0
4240,3.426174257,0
4245,3.426156077,0
4250,3.426137961,0
4255,3.426119909,0
4260,3.42610192,0
4265,3.426083995,0
4270,3.426066132,0
4275,3.426048333,0
4280,3.426030595,0
4285,3.42601292,0
4290,3.425995306,0
4295,3.425977754,0
4300,3.425960263,0
4305,3.425942832,0
4310,3.425925463,0
4315,3.425908154,0
4320,3.425890904,0
4325,3.425873715,0
4330,3.425856585,0
4335,3.425839514,0
4340,3.425822503,0
4345,3.425805549,0
4350,3.425788655,0
4355,3.425771818,0
4360,3.42575504,0
4365,3.425738318,0
4370,3.425721655,0
4375,3.425705048,0
4380,3.425688498,0
4385,3.425672005,0
4390,3.425655568,0
4395,3.425639187,0
4400,3.425622862,0
4405,3.425606592,0
4410,3.425590378,0
4415,3.425574219,0
4420,3.425558114,0
4425,3.425542064,0
4430,3.425526069,0
4435,3.425510127,0
4440,3.42549424,0
4445,3.425478405,0
4450,3.425462624,0
4455,3.425446897,0
4460,3.425431222,0
4465,3.425415599,0
4470,3.42540003,0
4475,3.425384512,0
4480,3.425369046,0
4485,3.425353632,0
4490,3.425338269,0
4495,3.425322957,0
4500,3.425307697,0
4505,3.425292487,0
4510,3.425277328,0
4515,3.425262219,0
4520,3.42524716,0
4525,3.425232151,0
4530,3.425217192,0
4535,3.425202282,0
4540,3.425187421,0
4545,3.42517261,0
4550,3.425157847,0
4555,3.425143133,0
4560,3.425128467,0
4565,3.425113849,0
4570,3.425099279,0
4575,3.425084757,0
4580,3.425070283,0
4585,3.425055855,0
4590,3.425041475,0
4595,3.425027142,0
4600,3.425012855,0
4605,3.424998615,0
4610,3.424984422,0
