# SiO2, literature reference, NOT from this campaign. Optical constants of the universal dispersion model of D. Franta, D. Necas, I. Ohlidal and A. Giglia, Proc. SPIE 9890, 989014 (2016). Tabulated from the refractiveindex.info entry 'main/SiO2/Franta', 250-4848 nm. n(1500 nm) = 1.4449, that is 0.0256 below the value this campaign's single layers give, which is exactly the handicap the in situ test of Section 6 starts from. Used only as a starting point, never as a result. sigma_n is a flat placeholder of 0.01 and carries no published meaning.
Wavelength_nm,n,k,sigma_n
320.0,1.4826939898,0.0,0.01
322.0,1.482250769912345,0.0,0.01
324.0,1.4818165873998659,0.0,0.01
326.0,1.481391426094,0.0,0.01
328.0,1.480974974084894,0.0,0.01
330.0,1.4805667408122996,0.0,0.01
332.0,1.4801669474974346,0.0,0.01
334.0,1.4797751634395058,0.0,0.01
336.0,1.4793908706206855,0.0,0.01
338.0,1.4790143152167865,0.0,0.01
340.0,1.478644937968903,0.0,0.01
342.0,1.478282823089174,0.0,0.01
344.0,1.4779275567068095,0.0,0.01
346.0,1.477579225894975,0.0,0.01
348.0,1.4772372521808728,0.0,0.01
350.0,1.4769019249345907,0.0,0.01
352.0,1.476572538183206,0.0,0.01
354.0,1.4762494856824202,0.0,0.01
356.0,1.475932183961,0.0,0.01
358.0,1.475620798469369,0.0,0.01
360.0,1.4753149548372826,0.0,0.01
362.0,1.4750146612909472,0.0,0.01
364.0,1.4747196200672041,0.0,0.01
366.0,1.47442983877605,0.0,0.01
368.0,1.474145190146588,0.0,0.01
370.0,1.4738653987239085,0.0,0.01
372.0,1.47359044067014,0.0,0.01
374.0,1.47332036996,0.0,0.01
376.0,1.473054824052887,0.0,0.01
378.0,1.472793709581676,0.0,0.01
380.0,1.4725371095839728,0.0,0.01
382.0,1.4722847534464392,0.0,0.01
384.0,1.4720365542016403,0.0,0.01
386.0,1.471792444142528,0.0,0.01
388.0,1.471552427948009,0.0,0.01
390.0,1.4713162800298105,0.0,0.01
392.0,1.4710839125545787,0.0,0.01
394.0,1.4708553126220925,0.0,0.01
396.0,1.4706303628016337,0.0,0.01
398.0,1.4704089522489314,0.0,0.01
400.0,1.4701910252186101,0.0,0.01
402.0,1.469976535710454,0.0,0.01
404.0,1.4697653017649301,0.0,0.01
406.0,1.4695574558728846,0.0,0.01
408.0,1.4693528291654894,0.0,0.01
410.0,1.4691512365573516,0.0,0.01
412.0,1.46895266251059,0.0,0.01
414.0,1.4687571497387513,0.0,0.01
416.0,1.468564541975407,0.0,0.01
418.0,1.4683747482151872,0.0,0.01
420.0,1.4681878436427922,0.0,0.01
422.0,1.468003614537786,0.0,0.01
424.0,1.4678220751827693,0.0,0.01
426.0,1.467643175186782,0.0,0.01
428.0,1.4674669551290163,0.0,0.01
430.0,1.4672931674413119,0.0,0.01
432.0,1.467121922012412,0.0,0.01
434.0,1.4669530077877,0.0,0.01
436.0,1.4667865347598807,0.0,0.01
438.0,1.4666223669717326,0.0,0.01
440.0,1.466460454639271,0.0,0.01
442.0,1.4663008264594406,0.0,0.01
444.0,1.4661433708930753,0.0,0.01
446.0,1.4659881233984113,0.0,0.01
448.0,1.4658349454681958,0.0,0.01
450.0,1.4656838074595555,0.0,0.01
452.0,1.4655347179953846,0.0,0.01
454.0,1.4653876417685647,0.0,0.01
456.0,1.465242463206838,0.0,0.01
458.0,1.4650992141219052,0.0,0.01
460.0,1.4649578532542828,0.0,0.01
462.0,1.4648183237459211,0.0,0.01
464.0,1.4646805603274462,0.0,0.01
466.0,1.4645445764833862,0.0,0.01
468.0,1.4644103866620983,0.0,0.01
470.0,1.4642778984705547,0.0,0.01
472.0,1.4641470764708004,0.0,0.01
474.0,1.4640178861334616,0.0,0.01
476.0,1.4638902938059526,0.0,0.01
478.0,1.463764266715962,0.0,0.01
480.0,1.463639851165453,0.0,0.01
482.0,1.4635169927155316,0.0,0.01
484.0,1.4633955884313106,0.0,0.01
486.0,1.4632756653367023,0.0,0.01
488.0,1.4631571549432563,0.0,0.01
490.0,1.4630401006507447,0.0,0.01
492.0,1.462924468328173,0.0,0.01
494.0,1.4628101651209666,0.0,0.01
496.0,1.4626972208494489,0.0,0.01
498.0,1.46258561952726,0.0,0.01
500.0,1.4624753017349783,0.0,0.01
502.0,1.4623662649793772,0.0,0.01
504.0,1.4622584316477625,0.0,0.01
506.0,1.4621519597406525,0.0,0.01
508.0,1.4620466528126324,0.0,0.01
510.0,1.4619424771206382,0.0,0.01
512.0,1.4618395095000085,0.0,0.01
514.0,1.4617377423867794,0.0,0.01
516.0,1.4616370531057106,0.0,0.01
518.0,1.4615375044177517,0.0,0.01
520.0,1.4614390679726983,0.0,0.01
522.0,1.4613416838551996,0.0,0.01
524.0,1.461245352042529,0.0,0.01
526.0,1.4611501125174402,0.0,0.01
528.0,1.461055865296612,0.0,0.01
530.0,1.460962586382379,0.0,0.01
532.0,1.4608703648120815,0.0,0.01
534.0,1.460779091650991,0.0,0.01
536.0,1.460688800055077,0.0,0.01
538.0,1.4605994510358065,0.0,0.01
540.0,1.4605110084653141,0.0,0.01
542.0,1.460423509609359,0.0,0.01
544.0,1.4603369046670869,0.0,0.01
546.0,1.4602511884808116,0.0,0.01
548.0,1.4601663430313945,0.0,0.01
550.0,1.460082311596158,0.0,0.01
552.0,1.4599992052742958,0.0,0.01
554.0,1.4599168769855522,0.0,0.01
556.0,1.4598353927365286,0.0,0.01
558.0,1.4597547073675738,0.0,0.01
560.0,1.4596748063847826,0.0,0.01
562.0,1.459595710810966,0.0,0.01
564.0,1.4595173546005085,0.0,0.01
566.0,1.4594397847928222,0.0,0.01
568.0,1.4593629111970752,0.0,0.01
570.0,1.4592868497985672,0.0,0.01
572.0,1.4592114410460715,0.0,0.01
574.0,1.4591368186150038,0.0,0.01
576.0,1.4590628233190965,0.0,0.01
578.0,1.4589896018602706,0.0,0.01
580.0,1.458916952976739,0.0,0.01
582.0,1.4588450713998657,0.0,0.01
584.0,1.4587738123713745,0.0,0.01
586.0,1.4587032307135657,0.0,0.01
588.0,1.4586332499435033,0.0,0.01
590.0,1.4585639398836718,0.0,0.01
592.0,1.4584952210256827,0.0,0.01
594.0,1.458427132621724,0.0,0.01
596.0,1.458359642273129,0.0,0.01
598.0,1.45829275195418,0.0,0.01
600.0,1.4582264613143303,5.7e-322,0.01
602.0,1.4581607361356166,6.29815e-319,0.01
604.0,1.4580955824209711,1.16437177e-316,0.01
606.0,1.4580309488075804,5.4846984436e-314,0.01
608.0,1.4579669448653572,1.782183542517e-311,0.01
610.0,1.457903424905531,1.792708021029444e-309,0.01
612.0,1.4578405051129453,2.013611293598308e-306,0.01
614.0,1.4577780663385138,2.2273810385628463e-304,0.01
616.0,1.4577161888321142,1.4436920546049637e-301,0.01
618.0,1.4576548138836825,2.142035092222304e-299,0.01
620.0,1.4575939152784572,1.70823361412064e-297,0.01
622.0,1.4575335702401326,1.5058647230799932e-294,0.01
624.0,1.457473672440634,1.3320653679889865e-292,0.01
626.0,1.4574142965970736,6.272580771824936e-290,0.01
628.0,1.457355392104751,7.888280883172536e-288,0.01
630.0,1.4572969327192133,5.4503215856734095e-286,0.01
632.0,1.457238992684323,3.183465360809941e-283,0.01
634.0,1.457181486423315,2.6217581841340462e-281,0.01
636.0,1.4571244077571488,4.540959995732208e-279,0.01
638.0,1.457067826536324,8.989788417224925e-277,0.01
640.0,1.457011659760224,5.924611109399287e-275,0.01
642.0,1.4569559309872973,1.522375237552951e-272,0.01
644.0,1.456900666644174,1.6501798979838273e-270,0.01
646.0,1.456845778936016,9.378201264301525e-269,0.01
648.0,1.4567913337985265,2.4455622410490074e-266,0.01
650.0,1.4567373097954308,2.0763358615343334e-264,0.01
652.0,1.4566836694939866,1.0578453872115641e-262,0.01
654.0,1.4566304290901129,2.402462192950601e-260,0.01
656.0,1.4565776164618067,1.8262026793643846e-258,0.01
658.0,1.4565251723652313,8.58306002741602e-257,0.01
660.0,1.4564731047574162,1.4740479870221046e-254,0.01
662.0,1.4564214528600197,1.1267145359842068e-252,0.01
664.0,1.4563701362813164,5.027884215134189e-251,0.01
666.0,1.456319205007492,5.04665837995969e-249,0.01
668.0,1.4562686655535282,4.8146932877606804e-247,0.01
