# Nb2O5, literature reference, NOT from this campaign. Optical constants of the universal dispersion model of D. Franta, B. Hroncova, J. Dvorak, J. Vohanka, P. Franta, I. Ohlidal, V. Pekar and D. Skoda, Opt. Mater. 157, 116133 (2024), for magnetron-sputtered Nb2O5 films made on another plant. Tabulated from the refractiveindex.info entry 'main/Nb2O5/Franta', 250-4848 nm. Used only as a deliberately foreign starting point for the in situ multi-start test of Section 6; never as a result. sigma_n is a flat placeholder of 0.01 and carries no published meaning: nothing in the deposit reads it for this table.
Wavelength_nm,n,k,sigma_n
250.0,2.738378743738437,1.2932583748984379,0.01
252.0,2.7735866973923926,1.2757518363363853,0.01
254.0,2.8083363094286673,1.2561350807146665,0.01
256.0,2.842479210599422,1.2344543040257825,0.01
258.0,2.8757574630366665,1.2107055400522226,0.01
260.0,2.9080238902378928,1.1849244843113211,0.01
262.0,2.9390661814700163,1.157220299666894,0.01
264.0,2.9686646576955265,1.127644635975526,0.01
266.0,2.996682354702794,1.0963267366085296,0.01
268.0,3.0229575588323985,1.0634196473883148,0.01
270.0,3.047339081331079,1.0290856675232367,0.01
272.0,3.069677498642249,0.9934458367356235,0.01
274.0,3.089891502615309,0.9567434680540569,0.01
276.0,3.107918357701415,0.919141256588679,0.01
278.0,3.1236930644774064,0.8808535706159907,0.01
280.0,3.137188894085248,0.8420658290802953,0.01
282.0,3.148391466598813,0.8029912730512299,0.01
284.0,3.15731853714536,0.7638081827336249,0.01
286.0,3.16400068247,0.724716737451,0.01
288.0,3.168485790487455,0.6858938183921913,0.01
290.0,3.1708557871136676,0.6474805358694249,0.01
292.0,3.1711915581667456,0.6096457336471541,0.01
294.0,3.169583684606923,0.5725247517620006,0.01
296.0,3.166132525093304,0.5362397118512024,0.01
298.0,3.1609520768473613,0.5008943656471546,0.01
300.0,3.1541579450437394,0.4665834303621381,0.01
302.0,3.145870510007194,0.4333930879411079,0.01
304.0,3.1362048129113567,0.4013712822831139,0.01
306.0,3.1252832715322696,0.37058332417365236,0.01
308.0,3.113215731317324,0.3410514937534285,0.01
310.0,3.100119696385147,0.3128182972910068,0.01
312.0,3.0860834203732312,0.2859354747751056,0.01
314.0,3.0712344715972892,0.26037951414322535,0.01
316.0,3.0556708339081458,0.2361508333741799,0.01
318.0,3.0394758119410095,0.21323288103689073,0.01
320.0,3.022737704918669,0.19167757633686044,0.01
322.0,3.005543713945364,0.17144010736095158,0.01
324.0,2.9879646582728685,0.15249028549025082,0.01
326.0,2.970062551027787,0.1348465624912801,0.01
328.0,2.9518956950700663,0.11850659825125709,0.01
330.0,2.933543129936105,0.10344726577447393,0.01
332.0,2.915068325957971,0.0897171988250413,0.01
334.0,2.896550525060299,0.07731095788541135,0.01
336.0,2.8781011457090426,0.06621998141551158,0.01
338.0,2.8598546520652954,0.05650861686859915,0.01
340.0,2.841942920904227,0.04806563202618385,0.01
342.0,2.8245296195134566,0.04087872821320323,0.01
344.0,2.807730550176162,0.034788139373235376,0.01
346.0,2.7916552745109295,0.029668212483716826,0.01
348.0,2.7763395195332543,0.025334018124419724,0.01
350.0,2.761785646463913,0.02163631171769504,0.01
352.0,2.747929299515006,0.018440279123726845,0.01
354.0,2.734715270447816,0.015684936946848457,0.01
356.0,2.7220889729334226,0.01334670460155224,0.01
358.0,2.7101887661082547,0.01138435083893346,0.01
360.0,2.6988896136495533,0.00954785711434855,0.01
362.0,2.688061754657698,0.007822545991934523,0.01
364.0,2.67759261018599,0.006233090283310816,0.01
366.0,2.66745281958468,0.004820800897480739,0.01
368.0,2.657644670164151,0.0036206369588890515,0.01
370.0,2.6481609757507525,0.002633687666267019,0.01
372.0,2.6390361608540607,0.0018603217431901115,0.01
374.0,2.630275818030871,0.0012772999871993361,0.01
376.0,2.6218818859707045,0.000850576579018354,0.01
378.0,2.6138526606730195,0.0005514264895474934,0.01
380.0,2.606180721453086,0.0003495464291583421,0.01
382.0,2.5988398627933638,0.00021582576682162259,0.01
384.0,2.5918059066479953,0.00012993500689250528,0.01
386.0,2.5850732399329135,7.738205242430819e-05,0.01
388.0,2.578604844806353,4.5388345596307675e-05,0.01
390.0,2.572383532780891,2.631203021554443e-05,0.01
392.0,2.5663893100554493,1.5178944158927533e-05,0.01
394.0,2.5606137604921804,8.877198869057974e-06,0.01
396.0,2.5550372270523685,5.3145612662625e-06,0.01
398.0,2.5496463307912993,3.289932223888492e-06,0.01
400.0,2.5444272439975,2.137784135616573e-06,0.01
402.0,2.5393722571061623,1.4766142073610253e-06,0.01
404.0,2.53447140571797,1.0910702130083897e-06,0.01
406.0,2.5297216094375825,8.629946977272288e-07,0.01
408.0,2.525109224678851,7.216811078638344e-07,0.01
410.0,2.520628731097203,6.319858318325457e-07,0.01
412.0,2.51627419447961,5.739845348784231e-07,0.01
414.0,2.512039009630325,5.361362691635521e-07,0.01
416.0,2.507918936179833,5.115687972225283e-07,0.01
418.0,2.5039072202735553,4.960128181631302e-07,0.01
420.0,2.500000462047598,4.867389141371646e-07,0.01
422.0,2.4961942373600827,4.819264276000927e-07,0.01
424.0,2.49248439471,4.80330457628e-07,0.01
426.0,2.4888698054359937,4.810981391574098e-07,0.01
428.0,2.4853420667146042,4.835828986598275e-07,0.01
430.0,2.4818995022272956,4.873465830242361e-07,0.01
432.0,2.478538809504729,4.920713408780421e-07,0.01
434.0,2.47525828196411,4.9752267618932e-07,0.01
436.0,2.472052108280647,5.035355670948635e-07,0.01
438.0,2.468920489259376,5.0997939422971e-07,0.01
440.0,2.4658605356628995,5.167619139788876e-07,0.01
442.0,2.4628669933002847,5.238213274925859e-07,0.01
444.0,2.459940261087849,5.31100677030739e-07,0.01
446.0,2.45707716801577,5.385672113556609e-07,0.01
448.0,2.454276850071913,5.461885814487252e-07,0.01
450.0,2.4515353578304055,5.539476248921102e-07,0.01
452.0,2.4488520987087115,5.61825097976423e-07,0.01
454.0,2.446225107878947,5.698095800088612e-07,0.01
456.0,2.443651236551314,5.778966504362324e-07,0.01
458.0,2.4411294028936243,5.860780988172695e-07,0.01
460.0,2.4386585428598115,5.943472649252122e-07,0.01
462.0,2.4362372924034115,6.026997602280282e-07,0.01
464.0,2.4338631033057436,6.111365533493145e-07,0.01
466.0,2.4315352206959497,6.19653297744366e-07,0.01
468.0,2.4292536725032683,6.282517064394365e-07,0.01
470.0,2.427015881157643,6.36928590766403e-07,0.01
472.0,2.4248196569098712,6.456854288647192e-07,0.01
474.0,2.422665173617369,6.545161179790202e-07,0.01
476.0,2.4205496099538193,6.634270676750438e-07,0.01
478.0,2.4184732204887296,6.724122598863375e-07,0.01
480.0,2.41643572096125,6.814770394441249e-07,0.01
482.0,2.414435303574094,6.90620413338524e-07,0.01
484.0,2.412470660099713,6.998390288015094e-07,0.01
486.0,2.410540608660232,7.091338214219249e-07,0.01
488.0,2.4086438773749332,7.185064968517866e-07,0.01
490.0,2.4067813559807365,7.27961245260716e-07,0.01
492.0,2.404951447446549,7.374930884769745e-07,0.01
494.0,2.4031523004530406,7.471031246523164e-07,0.01
496.0,2.401382937622441,7.567924552578242e-07,0.01
498.0,2.399644660984363,7.665604751491508e-07,0.01
500.0,2.3979356140909385,7.764120473351364e-07,0.01
502.0,2.3962548317726817,7.863391379869031e-07,0.01
504.0,2.3946007962758435,7.963466072945408e-07,0.01
506.0,2.392975280286529,8.064373107539081e-07,0.01
508.0,2.391376448778503,8.166061841711498e-07,0.01
510.0,2.3898023969574975,8.268558173239362e-07,0.01
512.0,2.38825350278129,8.371880375119036e-07,0.01
514.0,2.3867296178354014,8.476095081710136e-07,0.01
516.0,2.3852294677331707,8.581072482195845e-07,0.01
518.0,2.383752814325604,8.686819408027517e-07,0.01
520.0,2.3822999372638596,8.793498017835542e-07,0.01
522.0,2.3808688339213226,8.900962937317039e-07,0.01
524.0,2.37945852897756,9.009281450583749e-07,0.01
526.0,2.3780716032727662,9.118464657178026e-07,0.01
528.0,2.3767048890079194,9.2284403299308e-07,0.01
530.0,2.375357840479721,9.339299135013158e-07,0.01
532.0,2.3740322522518613,9.451024854521579e-07,0.01
