# Beam aperture imposed, layer thicknesses re-inverted at each value.
# Study 04_BS45_resolved.json. Generated by tools/aperture_scan.py.
aperture_deg,rms_nominal_pct,rms_inverted_pct,qwot_dispersion_pct,layers_at_bound,total_nm
0.000,0.99778,0.40459,1.6813,3,6940.205
0.100,0.99762,0.40425,1.6817,3,6940.203
0.200,0.99714,0.40323,1.6829,3,6940.196
0.300,0.99633,0.40155,1.6849,3,6940.184
0.400,0.99523,0.39922,1.6877,3,6940.167
0.500,0.99383,0.39625,1.6913,3,6940.146
0.600,0.99217,0.39269,1.6958,3,6940.121
0.700,0.99026,0.38857,1.7013,3,6940.091
0.800,0.98813,0.38394,1.7077,3,6940.057
0.900,0.98582,0.37885,1.7151,3,6940.018
1.000,0.98336,0.37337,1.7235,3,6939.976
1.100,0.98079,0.36758,1.7330,3,6939.930
1.200,0.97816,0.36158,1.7437,3,6939.880
1.300,0.97552,0.35548,1.7555,3,6939.826
1.400,0.97292,0.34940,1.7685,3,6939.770
1.500,0.97042,0.34348,1.7827,3,6939.710
1.600,0.96807,0.33790,1.7981,3,6939.648
1.700,0.96595,0.33283,1.8147,3,6939.583
1.800,0.96411,0.32848,1.8326,3,6939.515
1.900,0.96262,0.32506,1.8516,3,6939.445
2.000,0.96156,0.32279,1.8717,3,6939.374
2.100,0.96098,0.32191,1.8929,3,6939.301
2.200,0.96098,0.32258,1.8980,3,6939.070
2.300,0.96161,0.32504,1.8906,3,6938.837
2.400,0.96295,0.32953,1.8833,3,6938.597
2.500,0.96507,0.33615,1.8767,4,6938.375
2.600,0.96803,0.34504,1.8714,4,6938.213
2.700,0.97190,0.35623,1.8659,4,6938.047
2.800,0.97674,0.36970,1.8604,4,6937.877
2.900,0.98261,0.38538,1.8547,4,6937.704
3.000,0.98955,0.40320,1.8490,4,6937.528
