perturbation_pct,draw_idx,elapsed_s,rmse_pct,n_ret_si_1500,n_ret_si_2500,n_ret_si_4000,n_ret_nb_1500,n_ret_nb_2500,n_ret_nb_4000,d_err_all_rms_pct,d_err_all_mean_pct,d_err_all_max_abs_pct,d_err_si_rms_pct,d_err_nb_rms_pct
0.0,0,74.65073013305664,0.40967899009087944,1.4764186744774923,1.4626089857443016,1.424779833352429,2.2432230427064654,2.207773023714891,2.148174668583217,4.229370977073041,-0.2804251880038393,12.556569814679142,4.265414154027521,4.1910959344219565
5.0,0,73.50310349464417,0.40967909813862063,1.4764188860374006,1.462609014305671,1.4247799171834266,2.243222688878558,2.207773044866085,2.148174778891242,4.229325350886498,-0.28041896076165795,12.556783909281137,4.265361161743718,4.191058195857124
5.0,1,64.72200894355774,0.40967899711071337,1.4764186832392834,1.4626089867381378,1.424779838950592,2.243223025509954,2.207773023563189,2.148174675825738,4.22936861165124,-0.2804247502284919,12.556582229122633,4.265411097475738,4.191094309216708
5.0,2,70.93455743789673,0.40967886606572085,1.4764184454870826,1.4626090172437867,1.424779672559964,2.243223691658986,2.2077729455488355,2.1481744351309864,4.229467820872839,-0.2804386956413532,12.555863305394904,4.265530532965588,4.191171857927094
5.0,3,49.86281442642212,0.4096788859351503,1.476418479982897,1.4626090123835662,1.424779700400109,2.2432235922757537,2.2077729621152073,2.148174479635582,4.229451445574093,-0.28043677900625585,12.555985679151451,4.265510981381499,4.191158884093237
5.0,4,62.14521861076355,0.409678887266825,1.4764184870696058,1.4626090123902762,1.4247797064143228,2.2432235766229685,2.2077729686024696,2.148174490255547,4.229448493708999,-0.28043658185613934,12.556012257702564,4.265507507597442,4.1911564911266765
5.0,5,44.17760443687439,0.40967918100966233,1.4764192604981636,1.4626091223475206,1.424779866193878,2.243222136420213,2.207772855207926,2.1481748191371524,4.229191493859327,-0.2804070883804039,12.556137106523751,4.265244537241673,4.190905866956719
5.0,6,73.51590013504028,0.40967888245335377,1.4764184785400616,1.4626090147664832,1.4247796977025593,2.243223604425207,2.2077729619832756,2.1481744759484007,4.2294528087390955,-0.2804371190457386,12.555969938453828,4.265512923317453,4.191159627326659
5.0,7,67.93557119369507,0.4096791193702276,1.4764188821560964,1.4626089891777765,1.4247799491496425,2.2432225609289485,2.2077730386012773,2.1481748373941425,4.229294412939091,-0.28041435150545796,12.556946183309675,4.265324090456199,4.1910338260378435
5.0,8,64.90554141998291,0.4096791128299377,1.476418877264096,1.462608990126615,1.4247799417014952,2.2432225754788617,2.207773037113102,2.1481748328853834,4.229295006168215,-0.2804147907921299,12.556923862335655,4.265325764959507,4.191033260955235
5.0,9,64.30110192298889,0.4096788876934458,1.476418484186791,1.4626090114367851,1.4247797032658802,2.2432235788789185,2.207772964104492,2.1481744844047808,4.229449389311455,-0.2804365176664994,12.55600149296748,4.265508579169536,4.191157198283549
