perturbation_pct,draw_idx,elapsed_s,rmse_pct,n_ret_si_1500,n_ret_si_2500,n_ret_si_4000,n_ret_nb_1500,n_ret_nb_2500,n_ret_nb_4000,d_err_all_rms_pct,d_err_all_mean_pct,d_err_all_max_abs_pct,d_err_si_rms_pct,d_err_nb_rms_pct
0.0,0,28.29309630393982,0.42315192004746477,1.478217647761265,1.4637326737929006,1.4234748558513897,2.2412560176167484,2.2051153159270176,2.150025500717785,2.1736506468879253,-0.33792410029865355,7.838716439570753,2.3847360042342847,1.9266307112910797
5.0,0,32.97400236129761,0.4231520592937135,1.4782176513188936,1.4637326678483078,1.4234748777976374,2.2412559983488625,2.205115313507354,2.1500254658646307,2.173656886694016,-0.33792384128988295,7.838713515593283,2.384739215533989,1.926640977394093
5.0,1,33.721436500549316,0.4231515894077137,1.4782176374477662,1.4637326889566569,1.4234748242924162,2.241256083501888,2.2051153281428917,2.15002558740408,2.1736408181708358,-0.3379254506096438,7.838738625181124,2.38473289170232,1.9266120052265543
5.0,2,35.75331950187683,0.42315185738683436,1.4782176472461732,1.4637326767488699,1.4234748518451725,2.241256026563063,2.2051153170926234,2.150025511691921,2.173648507309372,-0.3379241789179745,7.838719706908326,2.38473509287027,1.9266269438753454
5.0,3,31.151039361953735,0.4231515851647545,1.4782176363095367,1.463732687958217,1.4234748228086378,2.2412560820790524,2.2051153267778645,2.150025586824147,2.1736408226915107,-0.3379253902720972,7.838739200123949,2.3847329571457614,1.9266119304272367
5.0,4,28.254602909088135,0.4231521394157771,1.4782176573483,1.4637326679179923,1.4234748879903825,2.24125598743174,2.2051153142528324,2.150025448392184,2.173658854756255,-0.33792371653040415,7.838706769960193,2.3847397286831495,1.9266448664419464
5.0,5,33.19322919845581,0.4231514889276137,1.4782176336711488,1.4637326931393653,1.4234748128073138,2.2412561025480504,2.205115331185994,2.150025613934034,2.1736376888391225,-0.3379258182231312,7.83874491513596,2.384731788415358,1.9266061957666063
5.0,6,33.38205051422119,0.4231520305639752,1.4782176542464156,1.463732672651482,1.4234748761635834,2.2412560069715575,2.2051153178311993,2.150025475823221,2.1736551560479587,-0.33792407437195277,7.83871292353881,2.3847382424723467,1.926638237379722
5.0,7,33.00078225135803,0.42315192261346946,1.4782176496911332,1.4637326761631866,1.4234748629364031,2.241256024804296,2.205115319775121,2.1500255029243993,2.1736517867775107,-0.33792439780897854,7.838719413414669,2.38473707541263,1.9266319553935758
5.0,8,31.15510582923889,0.4231519993822273,1.4782176522617962,1.463732673427964,1.4234748720577477,2.241256012971403,2.2051153180787155,2.1500254840994977,2.1736542346371617,-0.33792416969808603,7.838714950099666,2.3847379503842507,1.9266364841408399
5.0,9,31.008254289627075,0.42315153065549027,1.4782176342334077,1.4637326899681018,1.4234748166948559,2.2412560916228412,2.2051153280900158,2.1500256003272753,2.1736389977636628,-0.33792555914175537,7.838742279356825,2.3847322190673172,1.9266086658905557
10.0,0,39.05989360809326,0.423151994271313,1.4782176512884726,1.4637326722383002,1.423474870356896,2.24125601019354,2.205115316630401,2.150025483206665,2.173654154300848,-0.3379240866538674,7.838715340172361,2.384737930611072,1.9266363238605706
10.0,1,118.55428123474121,0.4231519173382472,1.478217651557448,1.4637326777032467,1.423474861876131,2.2412560240920216,2.2051153207225176,2.1500255037830045,2.173650975830502,-0.3379243853803269,7.838717615429317,2.38473642620563,1.9266309232629346
10.0,2,36.78017568588257,0.42315152048826377,1.4782176356507704,1.4637326921281657,1.4234748170833647,2.241256095959462,2.20511533077019,2.150025605398103,2.1736386727237513,-0.3379257286266251,7.838742832184472,2.3847321474999212,1.9266080064039866
10.0,3,41.020156145095825,0.42315192425195597,1.47821765001672,1.4637326763380234,1.4234748631988299,2.2412560247806677,2.205115320029368,2.1500255028333517,2.1736517800798993,-0.33792440071474217,7.838719203112964,2.3847370338090434,1.9266319940893986
10.0,4,41.844871044158936,0.4231521485697427,1.4782176576377193,1.4637326669987818,1.4234748880940604,2.241255983029134,2.205115312688159,2.1500254437459,2.173658784361806,-0.33792354583167733,7.838705258004028,2.384739442287704,1.9266450765711762
10.0,5,61.48861598968506,0.4231518873167587,1.4782176478190538,1.463732676990592,1.423474858461928,2.2412560303341587,2.205115319862908,2.1500255109216457,2.173650580355663,-0.33792445848056846,7.838721455112302,2.3847365787121446,1.9266298087154234
10.0,6,39.23981714248657,0.4231514987330934,1.4782176343104918,1.4637326923728986,1.4234748143910547,2.241256098488289,2.20511533020249,2.1500256090811822,2.173637913212696,-0.33792573368628176,7.838744061975347,2.384731836398094,1.9266066528574557
10.0,7,46.53051686286926,0.4231519791006598,1.4782176501961413,1.4637326729079927,1.4234748688179737,2.2412560148471607,2.2051153172192564,2.1500254882355905,2.1736537044376476,-0.33792416581728246,7.838716619727066,2.3847378016410126,1.9266354501031977
10.0,8,33.952128648757935,0.42315205505733683,1.4782176536489962,1.4637326703845313,1.4234748774675587,2.241256000828949,2.2051153153637606,2.150025468118891,2.1736560297181704,-0.33792390484954515,7.838711700818736,2.384738599159795,1.9266397958925912
10.0,9,117.43756604194641,0.4231518760027361,1.478217650173608,1.463732679092497,1.4234748581114014,2.2412560309084864,2.2051153216249433,2.1500255131433104,2.1736496996157113,-0.33792451088428593,7.8387204478504104,2.3847359988586887,1.9266285245951293
15.0,0,35.85391664505005,0.4231519461460287,1.4782176517675052,1.4637326758006661,1.4234748662154635,2.2412560199963445,2.205115319709638,2.150025496740659,2.173652336047535,-0.33792430909218607,7.83871746500192,2.3847371432671074,1.9266331389872855
15.0,1,33.954062700271606,0.42315170762465176,1.4782176449743476,1.4637326858215132,1.4234748378013746,2.241256058204781,2.2051153256470353,2.1500255539542255,2.17364395816684,-0.3379249641277876,7.838729440726894,2.3847336895178355,1.9266182373828271
15.0,2,38.174320459365845,0.4231518699772185,1.4782176473381732,1.4637326770543855,1.4234748565380158,2.241256030805702,2.2051153195876494,2.1500255135381874,2.1736500540941184,-0.33792444782786857,7.838722407063127,2.3847363702074458,1.9266288616603093
15.0,3,55.92237639427185,0.42315165984566827,1.478217641100707,1.4637326872350582,1.4234748335585128,2.2412560723704362,2.2051153279506863,2.1500255713654237,2.1736434006658367,-0.33792534686586484,7.838735074734038,2.38473406929234,1.9266164514942212
15.0,4,116.04091572761536,3.1012220256841183,1.5197993901253972,1.3966859944289964,1.4394024140775055,2.205820510884921,2.2224442041940033,2.223453243102217,14.70177914375218,-2.1438908458307484,30.969298410850612,15.662953491909699,13.616916429439543
15.0,5,45.67915439605713,0.4231514461423928,1.47821763280695,1.4637326941156712,1.423474806739683,2.2412561043386128,2.2051153303665982,2.1500256205269586,2.1736357869648493,-0.33792578463074874,7.838745591843493,2.3847307720231394,1.9266031156568664
15.0,6,41.16678738594055,0.4231516587257801,1.478217638104994,1.463732684594824,1.4234748306479683,2.2412560687744425,2.2051153240325476,2.150025567180969,2.1736431329724115,-0.33792510687412985,7.838734837441959,2.3847337670455873,1.9266162253718842
15.0,7,43.379311323165894,0.4231520727107691,1.4782176549256705,1.4637326696728405,1.4234748796504637,2.2412559957405738,2.205115314806441,2.1500254624010084,2.1736564929055504,-0.3379238190908181,7.838710146413201,2.3847386908085633,1.926640749131709
15.0,8,41.90823817253113,0.423151954786937,1.4782176514102499,1.4637326759340263,1.423474867632526,2.2412560219517275,2.205115320355888,2.1500254965926175,2.1736527965227377,-0.33792439183248646,7.838717471832056,2.384737442784143,1.9266338151113596
15.0,9,42.86525273323059,0.4231517016204468,1.4782176432046885,1.4637326849603736,1.423474835539393,2.2412560598069193,2.2051153243546895,2.1500255576293874,2.173643563015484,-0.3379249186127678,7.838728779845915,2.3847334039326373,1.9266176943827358
20.0,0,41.44545888900757,0.42315201472273467,1.4782176526229203,1.4637326719587476,1.4234748725003015,2.2412560067796274,2.2051153166038024,2.1500254785010995,2.1736546623038158,-0.33792403252256165,7.83871368705048,2.384738026581235,1.9266373752541561
20.0,1,220.54851913452148,7.065932895190697,1.4379538309088804,1.4455090079437283,1.4694434558559717,2.317467911016377,2.2506513098076044,2.223453243102217,20.404764621787297,-0.94983644072772,38.49159880505848,24.306872314995193,15.254579151678318
20.0,2,41.17530918121338,0.42315206615486867,1.478217654860914,1.4637326701693516,1.423474879073806,2.241255997211969,2.2051153151217475,2.1500254642334857,2.1736562974081663,-0.3379238559665237,7.838710583257247,2.384738638483308,1.9266403645741315
20.0,3,91.33514952659607,0.4231515566177733,1.478217637180334,1.4637326906511312,1.4234748211702901,2.241256088381472,2.2051153292012913,2.1500255950730747,2.1736396434920287,-0.33792555257330115,7.838740237625844,2.384732402200958,1.9266099226703197
20.0,4,61.47704863548279,2.751747757270413,1.482019816226961,1.4654688043598973,1.4331540484380936,2.2356613637636515,2.2056442270967938,2.153199346256759,10.718082444295666,-1.3232547423550263,27.913766869889496,10.056736991723175,11.372763358157101
20.0,5,120.31022620201111,4.748662230392334,1.504979992764016,1.3862294927606076,1.4380075113269593,2.220673771767823,2.206518039501744,2.223453243102217,18.736664987026355,-5.828723470958453,35.90006281007556,20.11137125723493,17.171115437022674
20.0,6,33.040343284606934,0.4231515551428334,1.4782176263377709,1.4637326808509543,1.4234748403309994,2.241256097219652,2.205115334634428,2.150025592506439,2.173649449786214,-0.3379304925259769,7.8387437125965915,2.384739783534075,1.926623014885968
20.0,7,40.5614857673645,0.42315155454909364,1.478217637214388,1.4637326914262105,1.4234748209629515,2.2412560912131276,2.2051153304756883,2.1500255981114824,2.17363974147867,-0.3379256560443967,7.8387406427674255,2.384732544592035,1.926609964063614
20.0,8,52.263144969940186,0.42315143482062967,1.478217631764882,1.4637326947278628,1.4234748062816187,2.241256110279284,2.2051153319202266,2.15002562774086,2.1736358406552156,-0.33792591843894965,7.838747619638619,2.384731018951178,1.9266029182625388
20.0,9,606.1757395267487,4.864459239027815,1.4327339595438056,1.4020554326136572,1.4337582828130169,2.157467911016377,2.1676457570601726,2.223453243102217,15.774885029208454,2.0933125931509196,38.36604662668142,17.802940005928118,13.310343134118504
