# Seventeen-layer beam splitter for 45 degrees, run 260319-037, on silicon with the rear face ground. Reflectance at 45 degrees in s and p, in percent. EssentOptics PHOTON RT SN 38425, 220 um slit, 5 mm spot, stage 45 degrees, detector 90, 1000-4000 nm at a 5 nm pitch, 20 averages, the two polarizations run separately. The analysis band of the study is 1500-4000 nm, one and the same for every sample of the campaign.
Wavelength_nm,R_s_pct,R_p_pct
1770.03,59.24704413,26.99991007
1774.99,59.10007791,28.83524985
1779.95,57.72050032,29.78718529
1785.02,54.90141116,29.81703164
1789.96,50.57509753,28.92186644
1794.99,44.29455892,27.10552595
1800.01,35.97897975,24.41736041
1804.99,26.29331553,20.92567553
1809.96,16.99065517,16.84080223
1815.02,10.75932012,12.40591712
1819.96,10.00137149,8.274710222
1825.01,15.48724629,4.830607175
1829.96,25.99932363,2.879577729
1835.03,39.05027947,2.891612936
1840.01,51.28267245,5.150995754
1845.01,61.25216211,9.365428308
1850.03,68.92625443,15.19627559
1854.95,74.41542262,21.70487079
1860,78.54417186,28.63880698
1864.95,81.43299149,34.97414676
1870,83.54446483,40.87891037
1875.04,85.03272312,45.91691619
1879.96,86.05380444,49.96372345
1884.97,86.70332713,53.31152168
1889.95,87.048698,55.85862408
1895.02,87.083968,57.71340993
1899.97,86.79797558,58.89300735
1905,86.17491538,59.45316845
1910.03,85.08028482,59.37603279
1914.95,83.40987897,58.69744677
1919.99,80.83138289,57.33750108
1925.04,76.99448689,55.28109727
1930.01,71.62632035,52.53382503
1934.99,64.56129398,49.021166
1939.99,56.95688396,44.71411172
1945.01,51.29714878,39.73571905
1950.04,49.6563538,34.4310315
1954.97,52.62866615,29.46645878
1960,59.66610667,25.53054019
1965.02,68.7957945,23.62341517
1970.02,77.29030164,24.38993802
1975,83.55857792,28.01208665
1979.95,87.76625129,33.99343508
1985,90.56342366,41.57014249
1990.02,92.40441561,49.43360591
1995.03,93.70654605,56.88766136
2000.04,94.79277204,63.88740355
2005.05,95.38459918,69.36699471
2009.96,95.88274332,73.6816942
2015,96.22454834,77.05144176
2019.95,96.46371481,79.78293117
2025.03,96.67913275,82.05453693
2030.02,96.84742476,83.74328344
2035.02,96.95274036,85.12464736
2040.03,97.08547391,86.29708703
2045.04,97.16404175,87.17593706
2050.05,97.2003042,87.85839269
2055.04,97.23898556,88.45462332
2060.01,97.27405473,88.86459885
2064.96,97.27170951,89.16741061
2069.99,97.24361869,89.41317269
2075.01,97.257647,89.52568755
2080,97.1984295,89.55755618
2084.99,97.13510452,89.49580155
2089.98,97.10217397,89.34864862
2094.97,96.94692443,89.07690713
2099.97,96.81653463,88.73101074
2105,96.63698673,88.25128775
2110.04,96.37245077,87.64044399
2115,96.05140047,86.84233257
2119.97,95.59890591,85.91171091
2124.95,94.92090601,84.71235951
2129.95,93.95865244,83.22110953
2135.04,92.41765928,81.45822605
2140.02,89.97101146,79.15893721
2144.98,86.20411425,76.51028074
2150.03,81.58389596,73.34706803
2154.95,77.62753984,69.64041779
2159.95,75.57938813,65.98900888
2165.04,75.75675709,61.91179134
2170.01,78.23243155,58.70518311
2174.97,82.27800492,56.57441758
2180.05,87.02872739,55.88766853
2185.02,90.62878856,56.94005898
2190.01,92.95161496,59.5850124
2195.02,94.48854473,63.20644872
2199.95,95.40744649,67.2089269
2205,96.06374233,71.52777098
2209.96,96.51573496,75.00766168
2215.03,96.83172724,78.45884633
2220,97.08280349,81.03276741
2224.96,97.25402683,83.32508621
2230.02,97.41358319,85.1672491
2234.95,97.50474247,86.62561582
2239.96,97.6007205,87.92408218
2244.95,97.67620407,88.8496962
2250.03,97.74171569,89.73103468
2254.98,97.80174215,90.37098647
2260.03,97.82537547,90.96105642
2264.97,97.89613075,91.43365653
2270.02,97.87903663,91.81443398
2274.98,97.91574583,92.15022833
2279.96,97.90580938,92.35574843
2284.96,97.94503622,92.58678643
2289.98,97.95638058,92.73603594
2295.02,97.96239354,92.88824764
2299.96,97.96343069,92.94047711
2305.02,97.96358737,93.00579817
2309.96,97.95784528,93.007594
2315,97.95244586,93.01449408
2320.02,97.9299577,92.96068004
2325.02,97.91126237,92.90116699
2330,97.91354396,92.8025396
2334.95,97.87613371,92.66452934
2339.99,97.8893473,92.47691137
2345.02,97.80270022,92.26575348
2350.04,97.78743868,92.03139697
2354.96,97.72098163,91.76080817
2360,97.71977949,91.43021821
2364.95,97.5997167,91.05129437
2370.03,97.50775658,90.6020823
2375.02,97.4082455,90.0856274
2380.03,97.30219871,89.53015987
2385.05,97.12060043,88.91060163
2389.97,96.92367629,88.15809321
