# Two-side-coated component: beam splitter run 260317-035 on the entrance face, antireflection run 260317-034 on the exit face, one polished silicon substrate. Reflectance at 45 degrees in s and p, in percent, acquisition 'BSplusAR260317-034-35' of 17 March 2026 16:38. Deposited as the example that exercises a two-sided sample; it is not one of the three components the article reports on.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
3449.9,67.512,30.902,49.207
3460,67.942,30.653,49.297
3470,67.498,30.761,49.129
3480,67.874,30.658,49.266
3489.9,67.607,31.268,49.438
3499.9,67.831,31.06,49.445
3510.1,67.339,31.733,49.536
3520.1,67.345,32.125,49.735
3530.1,67.269,32.273,49.771
3540.1,67.003,32.861,49.932
3549.9,67.665,32.653,50.159
3560,66.757,33.348,50.052
3570,66.723,33.486,50.105
3579.9,66.482,34.226,50.354
3590,66.698,34.294,50.496
3600.1,65.531,35.064,50.298
3609.9,65.262,34.835,50.049
3620,65.07,35.54,50.305
3630,65.025,36.042,50.533
3640,64.239,36.44,50.339
3650,64.269,37.127,50.698
3659.9,63.419,37.302,50.361
3670.1,62.381,37.69,50.035
3680,62.445,37.613,50.029
3689.9,61.666,38.674,50.17
3700.1,60.961,38.129,49.545
3710,60.608,39.31,49.959
3720,59.739,39.536,49.638
3730,59.714,39.297,49.505
3740.1,58.517,40.776,49.647
3750.1,58.52,39.57,49.045
3759.9,57.62,40.521,49.071
3770,56.8,41.184,48.992
3780,57.781,40.659,49.22
3790,56.517,41.205,48.861
3800,56.136,41.421,48.779
3810,56.954,40.807,48.881
3820,55.927,41.229,48.578
3830.1,55.348,42.345,48.846
3840,56.303,41.794,49.048
3850.1,55.17,40.908,48.039
3860,55.472,41.928,48.7
3870.1,56.216,41.629,48.922
3880,57.024,41.19,49.107
3889.9,56.479,41.041,48.76
3900.1,56.526,41.561,49.043
3910.1,57.886,41.387,49.637
3920.1,57.181,40.532,48.856
3930.1,57.81,41.195,49.502
3940.1,59.251,41.635,50.443
3950.1,58.893,40.768,49.83
3960.1,59.273,40.529,49.901
3970.1,59.092,39.798,49.445
3980,60.257,40.671,50.464
3989.9,61.286,40.319,50.802
4000,62.099,39.569,50.834
4009.9,61.614,38.839,50.227
4020,61.352,38.69,50.021
4030,62.366,39.127,50.746
4039.9,63.507,39.434,51.47
4050,64.731,38.83,51.781
4060.1,64.511,37.71,51.111
4070,63.91,36.544,50.227
4080.1,64.486,37.139,50.812
4090,65.013,37.342,51.178
4100,64.54,37.28,50.91
4109.9,66.113,37.538,51.825
4120.1,66.304,36.316,51.31
4130.1,66.353,36.175,51.264
4140,66.03,35.836,50.933
4149.9,65.821,35.329,50.575
4160,64.859,35.755,50.307
4169.9,65.272,35.328,50.3
4180,65.454,36.153,50.804
4190,65.554,36.274,50.914
4200,67.391,36.944,52.168
4210,65.324,35.353,50.338
4220.1,62.621,35.655,49.138
4230.1,62.878,34.311,48.594
4239.9,65.812,37.421,51.617
4250,64.721,34.672,49.696
4260.1,66.977,34.78,50.878
4270,64.51,34.483,49.497
4279.9,66.18,35.153,50.666
4290,63.222,34.818,49.02
4300,62.805,34.982,48.893
4310.1,64.214,36.139,50.176
4320,63.301,35.646,49.473
4330.1,63.097,36.25,49.674
4340.1,64.899,37.088,50.994
4349.9,63.792,38.366,51.079
4359.9,62.196,38.008,50.102
4369.9,62.883,38.751,50.817
4380.1,60.84,38.282,49.561
4390,62.495,38.87,50.682
4400,60.931,39.613,50.272
4410,61.432,38.484,49.958
4420,59.782,39.817,49.799
4430.1,59.78,39.53,49.655
4439.9,59.425,40.162,49.793
4450,61.171,40.559,50.865
4460.1,59.912,41.272,50.592
4469.9,59.47,41.124,50.297
4480,60.411,42.425,51.418
4490.1,58.801,41.72,50.26
4499.9,58.775,42.14,50.458
4509.9,58.335,42.175,50.255
4519.9,58.466,43.498,50.982
4530.1,59.409,43.357,51.383
4540,58.148,43.274,50.711
4550,60.321,45.153,52.737
4560.1,58.843,45.58,52.211
4570,60.629,45.043,52.836
4580,59.999,44.226,52.113
4589.9,57.126,47.229,52.177
4600.1,59.485,45.658,52.572
4610.1,57.429,47.472,52.451
4619.9,58.421,45.61,52.016
4629.9,59.65,47.789,53.72
4640,59.871,47.61,53.74
4650,61.029,47.3,54.165
4660,60.079,45.023,52.551
4670,60.278,48.265,54.271
4680,62.056,47.022,54.539
4689.9,62.018,46.899,54.459
4700.1,59.617,47.642,53.629
4710,61.999,49.033,55.516
4720.1,63.031,46.917,54.974
4729.9,59.991,44.219,52.105
4740,64.133,48.766,56.45
4750.1,56.711,48.102,52.407
4760,61.285,47.074,54.18
4769.9,57.637,48.381,53.009
4780.1,55.443,49.131,52.287
4790,64.403,48.955,56.679
4800,66.191,46.253,56.222
4810,72.253,46.373,59.313
4820,55.244,50.733,52.988
4829.9,64.631,43.993,54.312
4839.9,63.505,49.934,56.72
4850,62.952,44.242,53.597
4859.9,59.206,48.752,53.979
4870,61.933,45.044,53.488
4880.1,69.791,41.423,55.607
4889.9,64.791,46.187,55.489
4899.9,58.503,41.629,50.066
4910,69.05,40.543,54.796
4920,56.005,46.155,51.08
4930,63.223,47.308,55.265
4939.9,56.604,41.905,49.255
4950,57.717,47.045,52.381
4959.9,60.518,43.351,51.934
4970,62.125,40.54,51.333
4980,62.805,43.816,53.31
4990.1,53.779,38.337,46.058
5000,49.543,48.354,48.948
5009.9,75.881,40.106,57.994
5020,80.164,40.068,60.116
5030.1,35.553,39.271,37.412
5039.9,65.756,38.419,52.088
5049.9,56.549,30.169,43.359
5060.1,50.942,42.394,46.668
5070.1,60.668,38.692,49.68
5080,38.71,41.214,39.962
5090,38.291,39.419,38.855
5100,75.897,33.725,54.811
5110,37.771,52.938,45.355
5120,41.359,38.21,39.784
5130.1,16.247,65.03,40.639
5140,120,18.056,69.028
5150,49.688,22.548,36.118
5159.9,39.727,46.224,42.976
5170,25.543,32.186,28.864
5180,25.138,46.091,35.615
5190.1,-7.192,41.901,17.354
5199.9,25.556,61.433,43.494
