# Single-layer SiO2 reference single layer on double-side-polished sapphire, same deposition campaign as the components, deposited less than one week before them with no target change or chamber reconditioning in between -- which is the condition that makes the transferability test legitimate. Transmittance relative to the bare substrate at normal incidence, as a fraction. Thickness determined in Volet 1: 1681.7 nm.
Wavelength_nm,Trel
639.98,1.02347
644.03,1.03318
648.02,1.04239
652.03,1.05078
656,1.05745
660,1.06184
664,1.06344
668,1.06264
671.99,1.05918
676.02,1.05358
680.03,1.04654
684.01,1.03824
687.99,1.02977
692.03,1.02179
696.02,1.01436
699.98,1.00833
704.01,1.0038
708,1.00113
711.99,1.0004
716.03,1.0014
719.99,1.00425
724,1.00854
727.98,1.01452
732,1.02118
736.02,1.02862
740,1.03614
743.99,1.04358
748,1.05058
751.98,1.05618
756.01,1.06033
759.99,1.0627
764,1.06366
768,1.06297
772.03,1.06108
775.98,1.05785
779.99,1.05368
784,1.04859
787.98,1.04279
791.98,1.03684
795.99,1.03057
800.01,1.02467
804.03,1.01905
807.98,1.0141
812.02,1.00967
815.99,1.00609
819.99,1.00342
823.98,1.00179
827.98,1.00088
831.99,1.00116
836.03,1.00231
840.02,1.00433
844.03,1.00698
847.98,1.01048
851.98,1.01469
856.01,1.01925
860.02,1.02422
864.01,1.02928
867.99,1.03456
872.03,1.03986
876.02,1.04468
879.98,1.04929
884.02,1.05352
888.01,1.05694
892,1.05985
895.99,1.06211
900.01,1.0634
904.01,1.06387
907.99,1.06341
912.01,1.06217
916.03,1.06024
920.01,1.05757
924,1.05415
928.02,1.05027
932,1.04625
935.98,1.04155
940,1.0369
944.01,1.03193
948,1.02709
952.01,1.02247
956.02,1.01824
960.02,1.01401
963.99,1.01055
968.02,1.0074
972.02,1.00478
975.98,1.00271
980,1.00106
984.01,1.00008
988,0.999743
992.01,1.00035
996.01,1.00046
1000.02,1.00104
1004.02,1.002
1008.02,1.0034
1012.01,1.00529
1016.01,1.00742
1020,1.00994
1023.99,1.01284
1027.98,1.01579
1031.96,1.01917
1035.95,1.02268
1040.06,1.02628
1044.05,1.02986
1048.04,1.03348
1052.04,1.03705
1056.04,1.04055
1060.04,1.04379
1064.04,1.04695
1068.04,1.04995
1072.05,1.05282
1076.05,1.05502
1080.05,1.05715
1084.05,1.05885
1088.05,1.06018
1092.04,1.06126
1096.03,1.06204
1100.02,1.06238
1104.01,1.06218
1107.99,1.06174
1111.97,1.06115
1115.95,1.06005
1120.04,1.05882
1124.02,1.05717
1128,1.05529
1131.98,1.05305
1135.96,1.05071
1139.95,1.04839
1144.05,1.04562
1148.04,1.04299
1152.03,1.04031
1156.02,1.03743
1160.01,1.03461
1164.01,1.03158
1168,1.02883
1171.99,1.02581
1175.98,1.02328
1179.97,1.0205
1183.95,1.01783
1188.05,1.01552
1192.02,1.01329
1196,1.01117
1199.97,1.00919
1204.05,1.00737
1208.02,1.00572
1211.99,1.00429
1215.96,1.00316
1220.04,1.0019
1224.01,1.00115
1227.99,1.00044
1231.96,1.00001
1236.05,0.999747
1240.03,0.999673
1244.01,0.99994
1248,1.00024
1251.98,1.00071
1255.96,1.00167
1259.95,1.00245
1264.04,1.00354
1268.02,1.00469
1272,1.00604
1275.97,1.0077
