# Seventeen-layer 50/50 beam splitter, run 260317-035, on double-side polished silicon. Reflectance at 45 degrees in s and p. R_a is the half-sum, which is what an unpolarized measurement returns and what this study inverts; it is rigorously invariant under a symmetric mixing of the two channels.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
1580.01,51.34660174,29.52162977,40.43411575
1584.99,50.40443606,28.31226648,39.35835127
1589.98,47.70329777,25.92299939,36.81314858
1594.98,43.11995396,22.48643344,32.8031937
1599.99,36.54600549,18.19729507,27.37165028
1604.98,28.17978418,13.42568795,20.80273606
1609.97,18.92354896,8.810292645,13.8669208
1615.05,10.43127654,5.052458254,7.741867399
1619.99,5.147358712,3.014118232,4.080738472
1625.03,4.487351367,2.972678236,3.730014802
1630.04,8.968101198,5.11068003,7.039390614
1635.03,17.03891164,8.982679057,13.01079535
1640.02,26.58720273,13.99051161,20.28885717
1645,35.74755376,19.37657892,27.56206634
1649.98,43.45895362,24.48862288,33.97378825
1654.98,49.42236467,28.9877341,39.20504939
1659.99,53.66020067,32.58790512,43.1240529
1665.03,56.31994034,35.23415451,45.77704743
1669.97,57.57,36.80204864,47.18602432
1675.04,57.57219791,37.37517449,47.4736862
1680.02,56.35899683,36.97688721,46.66794202
1685,53.82909538,35.62500455,44.72704997
1689.98,49.8975264,33.28976188,41.59364414
1694.96,44.44885201,30.04643442,37.24764321
1700.03,37.46115154,25.8828978,31.67202467
1704.98,29.63940778,21.2142831,25.42684544
1710.01,21.65656401,16.10531535,18.88093968
1715.03,15.21490164,11.08109416,13.1479979
1720.02,12.04969277,6.752703738,9.401198254
1724.99,12.9916719,3.647025312,8.319348606
1729.95,17.73505294,2.235464969,9.985258954
1735.03,25.27423583,2.707297073,13.99076645
1739.99,33.59454985,4.903644039,19.24909695
1744.97,41.46926675,8.383001105,24.92613393
1749.96,48.07428143,12.64326964,30.35877554
1754.98,53.1577219,17.05775619,35.10773904
1760.02,56.7537764,21.17771773,38.96574707
1764.96,58.98751246,24.61644103,41.80197674
1770.03,60.05732678,27.36827747,43.71280213
1774.99,59.91333561,29.22736852,44.57035207
1779.95,58.51501089,30.19078928,44.35290009
1785.02,55.64877494,30.2216858,42.93523037
1789.96,51.27110948,29.31209313,40.2916013
1794.99,44.89993367,27.47211106,36.18602236
1800.01,36.4724445,24.74400775,30.60822612
1804.99,26.65429419,21.20963003,23.93196211
1809.96,17.21559399,17.07024928,17.14292163
1815.02,10.89824194,12.57647546,11.7373587
1819.96,10.13099435,8.385009712,9.258002028
1825.01,15.69755214,4.88978538,10.29366876
1829.96,26.35688068,2.909650231,14.63326546
1835.03,39.58178058,2.929611371,21.25569598
1840.01,51.98179303,5.219473032,28.60063303
1845.01,62.08833836,9.489435019,35.78888669
1850.03,69.8699177,15.39777948,42.63384859
1854.95,75.43994748,21.99979065,48.71986906
1860,79.61745102,29.03101359,54.32423231
1864.95,82.5524167,35.44702874,58.99972272
1870,84.68821809,41.4336182,63.06091814
1875.04,86.19789984,46.54762714,66.37276349
1879.96,87.23278934,50.64642724,68.93960829
1884.97,87.89666588,54.03670528,70.96668558
1889.95,88.24061693,56.62026533,72.43044113
1895.02,88.28354934,58.50350538,73.39352736
1899.97,87.99118661,59.69718287,73.84418474
1905,87.35643231,60.26866757,73.81254994
1910.03,86.24868781,60.19386728,73.22127754
1914.95,84.55255946,59.49798845,72.02527396
1919.99,81.94448614,58.11971007,70.0320981
1925.04,78.04616774,56.04104465,67.04360619
1930.01,72.60793569,53.25426727,62.93110148
1934.99,65.44721481,49.69146317,57.56933899
1939.99,57.73895004,45.32593279,51.53244142
1945.01,52.00155934,40.27764397,46.13960165
1950.04,50.34,34.89824516,42.61912258
1954.97,53.34985349,29.86520315,41.60752832
1960,60.47923384,25.87728624,43.17826004
1965.02,69.73894451,23.94699712,46.84297082
1970.02,78.34651543,24.72031264,51.53341404
1975,84.7016404,28.39196851,56.54680445
1979.95,88.96971333,34.46093888,61.7153261
1985,91.80641824,42.14045261,66.97343543
