# Single-layer Nb2O5 witness on double-side polished sapphire, same deposition campaign as the components, less than one week apart, no target change or chamber reconditioning in between. Transmittance relative to the bare substrate at normal incidence, as a fraction. Reproduced from the Volet 1 deposit.
Wavelength_nm,Trel
525.52,0.802744
525.98,0.80124
526.5,0.800312
527.02,0.799845
527.48,0.800598
528,0.801913
528.52,0.804928
528.98,0.808285
529.5,0.812473
530.02,0.818414
530.48,0.822897
531,0.829496
531.51,0.837232
531.98,0.844424
532.49,0.853821
533.01,0.862484
533.53,0.871942
533.99,0.881194
534.51,0.891108
535.02,0.901523
535.48,0.911839
536,0.921591
536.51,0.932551
537.03,0.941837
537.49,0.95048
538,0.959699
538.51,0.968289
539.03,0.975372
539.49,0.981786
540,0.987373
540.51,0.991802
541.02,0.994773
541.48,0.997229
541.99,0.998299
542.5,0.99779
543.01,0.99617
543.53,0.993733
543.98,0.990229
544.49,0.985398
545,0.979318
545.51,0.972498
546.02,0.965685
546.53,0.957265
546.98,0.94986
547.49,0.940863
548,0.9321
548.51,0.922218
549.02,0.912516
549.52,0.902885
549.98,0.894929
550.48,0.885885
550.99,0.875734
551.5,0.867745
552.01,0.859749
552.52,0.851656
553.03,0.844406
553.48,0.838378
553.99,0.831437
554.5,0.82642
555,0.821316
555.51,0.816746
556.02,0.81349
556.48,0.810489
556.99,0.807926
557.5,0.806764
558.01,0.805599
558.52,0.805326
559.03,0.805831
559.48,0.806393
559.99,0.808383
560.51,0.810879
561.02,0.81355
561.53,0.817645
561.99,0.821611
562.5,0.825976
563.01,0.831115
563.53,0.837394
563.98,0.84295
564.5,0.849667
565.01,0.857198
565.53,0.864453
565.99,0.871736
566.5,0.880156
567.02,0.888638
567.48,0.896359
567.99,0.905115
568.51,0.913298
569.03,0.922663
569.48,0.930377
570,0.939032
570.52,0.947431
570.98,0.954124
571.5,0.961866
572.01,0.968802
572.53,0.974783
572.99,0.980426
573.51,0.985649
574.03,0.989368
574.49,0.992942
575,0.995446
575.52,0.996949
575.98,0.998387
576.5,0.998798
577.02,0.997403
577.48,0.996743
577.99,0.993957
578.51,0.990692
579.02,0.98686
579.48,0.981998
580,0.977285
